epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,464.324,0.77702,0.36594,0.78539,0.98979,0.98214,0.99482,0.80356,0.88806,0.39471,0.81416,0.0004259,0.0004259,0.0004259
161,471.816,0.79742,0.37292,0.77424,0.98979,0.98214,0.99482,0.80356,0.88806,0.39471,0.81416,0.000416,0.000416,0.000416
162,475.251,0.80015,0.36559,0.7855,0.9822,0.98564,0.99482,0.79196,0.86629,0.40065,0.81372,0.0004061,0.0004061,0.0004061
163,477.787,0.77545,0.35569,0.77722,0.9822,0.98564,0.99482,0.79196,0.86629,0.40065,0.81372,0.0003962,0.0003962,0.0003962
164,479.926,0.80668,0.36477,0.77788,0.97994,1,0.99412,0.80159,0.85561,0.40284,0.81162,0.0003863,0.0003863,0.0003863
165,482.492,0.80417,0.37065,0.78631,0.97994,1,0.99412,0.80159,0.85561,0.40284,0.81162,0.0003764,0.0003764,0.0003764
166,484.514,0.79643,0.3705,0.77934,1,0.99687,0.995,0.8025,0.84699,0.39124,0.81284,0.0003665,0.0003665,0.0003665
167,487.228,0.77925,0.37145,0.78895,1,0.99687,0.995,0.8025,0.84699,0.39124,0.81284,0.0003566,0.0003566,0.0003566
168,489.307,0.75851,0.37305,0.76468,1,0.99349,0.995,0.80622,0.83792,0.39134,0.81492,0.0003467,0.0003467,0.0003467
169,494.7,0.78697,0.361,0.77673,1,0.99349,0.995,0.80622,0.83792,0.39134,0.81492,0.0003368,0.0003368,0.0003368
170,497.561,0.74966,0.3563,0.77705,0.98237,0.99489,0.99412,0.78923,0.85591,0.3975,0.81503,0.0003269,0.0003269,0.0003269
171,499.728,0.74677,0.35092,0.79637,0.98237,0.99489,0.99412,0.78923,0.85591,0.3975,0.81503,0.000317,0.000317,0.000317
172,501.794,0.86288,0.39148,0.7925,1,0.99509,0.995,0.80943,0.85156,0.38759,0.81454,0.0003071,0.0003071,0.0003071
173,504.89,0.86043,0.40441,0.77682,1,0.99509,0.995,0.80943,0.85156,0.38759,0.81454,0.0002972,0.0002972,0.0002972
174,510.995,0.85619,0.37862,0.78163,1,0.99276,0.995,0.80744,0.83744,0.37999,0.8153,0.0002873,0.0002873,0.0002873
175,513.459,0.77382,0.36106,0.77617,1,0.99276,0.995,0.80744,0.83744,0.37999,0.8153,0.0002774,0.0002774,0.0002774
176,515.7,0.78059,0.3662,0.79406,1,0.98779,0.995,0.81182,0.85392,0.37801,0.81595,0.0002675,0.0002675,0.0002675
177,520.952,0.7165,0.35395,0.77864,1,0.98779,0.995,0.81182,0.85392,0.37801,0.81595,0.0002576,0.0002576,0.0002576
178,523.537,0.76424,0.35471,0.78345,1,0.99922,0.995,0.81236,0.84092,0.37979,0.81454,0.0002477,0.0002477,0.0002477
179,525.888,0.7458,0.33908,0.78848,1,0.99922,0.995,0.81236,0.84092,0.37979,0.81454,0.0002378,0.0002378,0.0002378
180,531.325,0.7429,0.33625,0.78478,1,0.99985,0.995,0.80973,0.8578,0.38868,0.81395,0.0002279,0.0002279,0.0002279
181,533.357,0.83095,0.3607,0.77862,1,0.99985,0.995,0.80973,0.8578,0.38868,0.81395,0.000218,0.000218,0.000218
182,535.441,0.73793,0.34509,0.77538,1,0.99923,0.995,0.80587,0.86754,0.39366,0.81323,0.0002081,0.0002081,0.0002081
183,537.463,0.8167,0.36883,0.77539,1,0.99923,0.995,0.80587,0.86754,0.39366,0.81323,0.0001982,0.0001982,0.0001982
